State_Name,Assembly_No,Constituency_No,Year,month,Poll_No,DelimID,Position,Candidate,Sex,Party,Votes,Candidate_Type,Valid_Votes,Electors,Constituency_Name,Constituency_Type,Sub_Region,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin,Margin_Percentage,ENOP,pid,Party_Type_TCPD,Party_ID,last_poll,Contested,Last_Party,Last_Party_ID,Last_Constituency_Name,Same_Constituency,Same_Party,No_Terms,Turncoat,Incumbent,Recontest,MyNeta_education,TCPD_Prof_Main,TCPD_Prof_Main_Desc,TCPD_Prof_Second,TCPD_Prof_Second_Desc,Election_Type
Bihar,17,1,2019,4,0,4,1,BAIDYANATH PRASAD MAHTO,M,JD(U),602660,GEN,1032090,1665502,VALMIKI NAGAR,GEN,,13,61.97,58.39,no,354616,34.36,2.5,GEBR1056,State-based Party,11002,FALSE,3,JD(U),11002,VALMIKI NAGAR,TRUE,TRUE,2,FALSE,FALSE,TRUE,10th Pass,Agriculture,,,,Lok Sabha Election (GE)
Bihar,17,1,2019,4,0,4,2,SHASHWAT KEDAR,M,INC,248044,GEN,1032090,1665502,VALMIKI NAGAR,GEN,,13,61.97,24.03,no,185081,17.93,2.5,GEBH104284,National Party,3482,FALSE,1,,,,,,0,FALSE,FALSE,FALSE,Graduate,Politics,,,,Lok Sabha Election (GE)
Bihar,17,1,2019,4,0,4,3,DEEPAK YADAV,M,BSP,62963,GEN,1032090,1665502,VALMIKI NAGAR,GEN,,13,61.97,6.1,yes,28625,2.77,2.5,GEBH104285,State-based Party (Other State),16651,FALSE,1,,,,,,0,FALSE,FALSE,FALSE,Graduate Professional,Business,,Agriculture,,Lok Sabha Election (GE)
Bihar,17,1,2019,4,0,4,4,NOTA,,NOTA,34338,,1032090,1665502,VALMIKI NAGAR,GEN,,13,61.97,3.33,,19468,1.89,2.5,,NOTA,5897,FALSE,,,,,,,,,,,,,,,,Lok Sabha Election (GE)
Bihar,17,1,2019,4,0,4,5,SURESH SAH,M,IND,14870,,1032090,1665502,VALMIKI NAGAR,GEN,,13,61.97,1.44,yes,2059,0.2,2.5,GEBH104288,Independents,10809,FALSE,1,,,,,,0,FALSE,FALSE,FALSE,Others,Agricultural Labour,,,,Lok Sabha Election (GE)
Bihar,17,1,2019,4,0,4,6,RAKESH KEWAT,M,RAHIS,12811,,1032090,1665502,VALMIKI NAGAR,GEN,,13,61.97,1.24,yes,878,0.09,2.5,GEBH104289,Local Party,24355,FALSE,1,,,,,,0,FALSE,FALSE,FALSE,8th Pass,Agriculture,,,,Lok Sabha Election (GE)
Bihar,17,1,2019,4,0,4,7,SUSHMA DEVI,F,SHS,11933,,1032090,1665502,VALMIKI NAGAR,GEN,,13,61.97,1.16,yes,2969,0.29,2.5,GEBH104291,State-based Party (Other State),18691,FALSE,1,,,,,,0,FALSE,FALSE,FALSE,Post Graduate,Business,Hospitality,,,Lok Sabha Election (GE)
Bihar,17,1,2019,4,0,4,8,RAMESH PRASAD,M,IND,8964,,1032090,1665502,VALMIKI NAGAR,GEN,,13,61.97,0.87,yes,1047,0.1,2.5,GEBH104293,Independents,10809,FALSE,1,,,,,,0,FALSE,FALSE,FALSE,10th Pass,Other,,,,Lok Sabha Election (GE)
Bihar,17,1,2019,4,0,4,9,DURGESH SINGH CHAUHAN,M,BLND,7917,,1032090,1665502,VALMIKI NAGAR,GEN,,13,61.97,0.77,yes,46,0,2.5,GEBH104295,Local Party,24953,FALSE,1,,,,,,0,FALSE,FALSE,FALSE,12th Pass,Agriculture,,,,Lok Sabha Election (GE)
Bihar,17,1,2019,4,0,4,10,BHOLA RAY,M,SBSP,7871,,1032090,1665502,VALMIKI NAGAR,GEN,,13,61.97,0.76,yes,1735,0.17,2.5,GEBH104297,Local Party,18721,FALSE,1,,,,,,0,FALSE,FALSE,FALSE,Literate,Labourer or Daily Wage,,,,Lok Sabha Election (GE)
Bihar,17,1,2019,4,0,4,11,MUNNA SINGH,M,IND,6136,,1032090,1665502,VALMIKI NAGAR,GEN,,13,61.97,0.59,yes,1311,0.13,2.5,GEBH104299,Independents,10809,FALSE,1,,,,,,0,FALSE,FALSE,FALSE,Post Graduate,Retired or Pension,,,,Lok Sabha Election (GE)
Bihar,17,1,2019,4,0,4,12,SHIV KUMAR CHAUDHARY,M,BBC,4825,,1032090,1665502,VALMIKI NAGAR,GEN,,13,61.97,0.47,yes,242,0.02,2.5,GEBH104301,Local Party,15789,FALSE,1,,,,,,0,FALSE,FALSE,FALSE,8th Pass,Labourer or Daily Wage,,,,Lok Sabha Election (GE)
Bihar,17,1,2019,4,0,4,13,RAJESH KUSHWAHA,M,RSJVP,4583,GEN,1032090,1665502,VALMIKI NAGAR,GEN,,13,61.97,0.44,yes,408,0.04,2.5,GEBH104303,Local Party,6841,FALSE,1,,,,,,0,FALSE,FALSE,FALSE,5th Pass,Labourer or Daily Wage,,Agriculture,,Lok Sabha Election (GE)
Bihar,17,1,2019,4,0,4,14,MANOJ KUMAR,M,JKiP,4175,,1032090,1665502,VALMIKI NAGAR,GEN,,13,61.97,0.4,yes,0,0,2.5,GEBH104305,Local Party,4534,FALSE,1,,,,,,0,FALSE,FALSE,FALSE,12th Pass,Business,,,,Lok Sabha Election (GE)
Bihar,17,2,2019,4,0,4,1,DR. SANJAY JAISWAL,M,BJP,603706,GEN,1012936,1633824,PASCHIM CHAMPARAN,GEN,,9,62,59.6,no,293906,29.02,2.22,GEBR80762,National Party,1605,TRUE,3,BJP,1605,PASCHIM CHAMPARAN,TRUE,TRUE,3,FALSE,TRUE,TRUE,Post Graduate,Salaried Work or Employed,Medical Professional,Politics,MP,Lok Sabha Election (GE)
Bihar,17,2,2019,4,0,4,2,BRIJESH KUMAR KUSHWAHA,M,BLSP,309800,GEN,1012936,1633824,PASCHIM CHAMPARAN,GEN,,9,62,30.58,no,264101,26.07,2.22,GEBH104308,Local Party,16433,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,12th Pass,Business,,,,Lok Sabha Election (GE)
